code,areaName,cx,cy,VeryBadHealth,BadHealth,FairHealth,GoodHealth,VeryGoodHealth,%dep0,%dep1,%dep2,%dep3,%dep4,Apprenticeship,level4,None,level1_3,full_time,part_time,management,support,service
E12000001,North East,406363.8874009601,568861.2137857772,1.6,5.3,14.8,33.6,44.7,45.44569951007077,33.57886499727817,16.228905824714207,4.578711894393033,0.16781777354382146,5.468994674374474,23.514013720370848,16.712384865506895,34.566660609524774,29.95376297736354,13.040207962711177,12.083998076322255,18.541880980561864,12.368091883190601
E12000002,North West,352929.9951231467,461449.63310615,1.5,4.9,13.7,33.2,46.8,46.705765168613084,33.128369574076004,15.394829014876944,4.544297065741359,0.22673917669260796,4.771336898914808,25.346479364661217,15.83707869485751,33.22143873383075,31.574737492071,13.47804721199289,13.815896086471295,19.074316896572086,12.162593944669005
E12000003,Yorkshire and The Humber,447785.2675538304,454514.88803086994,1.3,4.6,14.0,34.8,45.3,46.825231329521536,33.71112363976182,15.111097381082939,4.132652667186691,0.21989498244701708,4.994166882268818,24.001281570814633,16.779381890222076,33.45386983663256,31.08969645528168,13.819453237809114,13.149002887001522,18.925742773875143,12.834393980557122
E12000004,East Midlands,479829.299340212,337141.4531851869,1.2,4.2,13.7,35.1,45.8,48.084750055464696,33.91121329267885,14.324665788393839,3.495895612497128,0.1834752509654784,4.902056411670854,23.84776889763925,15.961011906835457,34.88692952987815,32.81534736801122,13.748164723553321,13.715258068865634,19.242758379313017,13.605484693407082
E12000005,West Midlands,381413.7145690979,286678.5714136935,1.4,4.5,13.9,35.0,45.2,45.91397951258103,34.07903136912218,15.612282572769356,4.164411393168363,0.23029515235907438,4.254670920693411,23.757039864192002,17.061703441278198,33.27944660458154,31.108462335128117,13.23697136347527,13.252902109765195,18.39312208513976,12.699409503698437
E12000006,East of England,573119.5378233201,264233.5843308878,1.0,3.6,12.5,35.0,47.9,49.56283936819409,33.981440834576624,13.227875114786999,3.0242903367415024,0.20355434570078465,4.485458805434067,25.65679216539167,14.715052128066125,34.10773138927725,33.62281166723545,14.184696185080082,15.89998790858639,20.50100756518393,11.406512378545223
E12000007,London,530855.8904857246,180087.48371912644,1.3,4.1,12.6,32.9,49.0,48.058671243135,32.898584417966454,14.402031372484881,4.257990614189933,0.3827223522237267,2.586693588710924,37.69240367429539,13.082790740804715,24.89465583481671,35.65364747637655,13.894213548418769,19.975651520137895,19.35679148264583,10.21541802201159
E12000008,South East,502861.62121899135,156205.18565388763,0.9,3.3,11.8,34.4,49.6,52.04368946571477,32.83579737844298,12.153338553968181,2.756195827378711,0.2109787744953605,4.168530830512612,29.1229690673648,12.526545136297276,33.40646999131823,33.96123372289737,14.236094943945202,17.399528047991055,20.58525799892262,10.212531453228056
E12000009,South West,319862.021806734,122644.02767652748,1.1,3.7,12.5,34.1,48.7,50.06311045738849,33.837128059713805,12.958980040271454,2.9406900539470886,0.2000913886791559,4.9743509508372465,27.481545067991114,13.000505508853772,35.44625627018659,31.991975003095845,15.232128893882782,15.047290160328043,20.839488485378308,11.33732525127228
W92000004,Wales,281665.09838110494,267847.24554464984,1.6,5.1,14.1,32.5,46.6,45.91942478513326,33.408976523145036,15.996567476843088,4.497243737352592,0.17778747752602972,4.611947762409195,25.962174021896743,16.401705039494846,33.179050385938,30.857179450708514,13.179944997480284,12.659847452641902,19.598782813418143,11.778494182128751
